昆明市	530100
曲靖市	530300
玉溪市	530400
保山市	530500
昭通市	530600
丽江市	530700
普洱市	530800
临沧市	530900
楚雄州	532300
红河州	532500
文山州	532600
西双版纳州	532800
大理州	532900
德宏州	533100
怒江州	533300
迪庆州	533400
昆明市	五华区	530102
昆明市	盘龙区	530103
昆明市	官渡区	530111
昆明市	西山区	530112
昆明市	东川区	530113
昆明市	呈贡区	530121
昆明市	晋宁县	530122
昆明市	富民县	530124
昆明市	宜良县	530125
昆明市	石林彝族自治县	530126
昆明市	嵩明县	530127
昆明市	禄劝县	530128
昆明市	寻甸县	530129
昆明市	安宁市	530181
曲靖市	麒麟区	530302
曲靖市	沾益区	530303
曲靖市	马龙县	530321
曲靖市	陆良县	530322
曲靖市	师宗县	530323
曲靖市	罗平县	530324
曲靖市	富源县	530325
曲靖市	会泽县	530326
曲靖市	宣威市	530381
玉溪市	红塔区	530402
玉溪市	江川区	530403
玉溪市	澄江县	530422
玉溪市	通海县	530423
玉溪市	华宁县	530424
玉溪市	易门县	530425
玉溪市	峨山县	530426
玉溪市	新平县	530427
玉溪市	元江县	530428
保山市	隆阳区	530502
保山市	施甸县	530521
保山市	龙陵县	530523
保山市	昌宁县	530524
保山市	腾冲市	530581
昭通市	昭阳区	530602
昭通市	鲁甸县	530621
昭通市	巧家县	530622
昭通市	盐津县	530623
昭通市	大关县	530624
昭通市	永善县	530625
昭通市	绥江县	530626
昭通市	镇雄县	530627
昭通市	彝良县	530628
昭通市	威信县	530629
昭通市	水富县	530630
丽江市	古城区	530702
丽江市	玉龙县	530721
丽江市	永胜县	530722
丽江市	华坪县	530723
丽江市	宁蒗县	530724
普洱市	思茅区	530802
普洱市	宁洱县	530821
普洱市	墨江县	530822
普洱市	景东县	530823
普洱市	景谷县	530824
普洱市	镇沅县	530825
普洱市	江城县	530826
普洱市	孟连县	530827
普洱市	澜沧县	530828
普洱市	西盟县	530829
临沧市	临翔区	530902
临沧市	凤庆县	530921
临沧市	云县	530922
临沧市	永德县	530923
临沧市	镇康县	530924
临沧市	双江县	530925
临沧市	耿马县	530926
临沧市	沧源县	530927
楚雄州	楚雄市	532301
楚雄州	双柏县	532322
楚雄州	牟定县	532323
楚雄州	南华县	532324
楚雄州	姚安县	532325
楚雄州	大姚县	532326
楚雄州	永仁县	532327
楚雄州	元谋县	532328
楚雄州	武定县	532329
楚雄州	禄丰县	532331
红河州	个旧市	532501
红河州	开远市	532502
红河州	蒙自市	532503
红河州	屏边县	532523
红河州	建水县	532524
红河州	石屏县	532525
红河州	弥勒市	532526
红河州	泸西县	532527
红河州	元阳县	532528
红河州	红河县	532529
红河州	金平县	532530
红河州	绿春县	532531
红河州	河口县	532532
文山州	文山县	532621
文山州	砚山县	532622
文山州	西畴县	532623
文山州	麻栗坡县	532624
文山州	马关县	532625
文山州	丘北县	532626
文山州	广南县	532627
文山州	富宁县	532628
西双版纳州	景洪市	532801
西双版纳州	勐海县	532822
西双版纳州	勐腊县	532823
大理州	大理市	532901
大理州	漾濞县	532922
大理州	祥云县	532923
大理州	宾川县	532924
大理州	弥渡县	532925
大理州	南涧县	532926
大理州	巍山县	532927
大理州	永平县	532928
大理州	云龙县	532929
大理州	洱源县	532930
